title,date,url,article
country first innovation center new power system goes operation c china hunan,2024-07-15,http://en.people.cn/n3/2024/0715/c90000-20193939.html,photo shows innovation center new power system central china hunan province first kind country comprehensively showcases achievements technological equipment new power system innovation center new power system central china hunan province officially launched july  first kind china comprehensively showcases achievements technological equipment new power system center jointly constructed state grid hunan electric power  enterprises universities took  days complete ering aspects power system including power generation transmission transformation distribution storage utilization center vividly demonstrates latest technological innovation model transformation green development new power system exhibition area center features company booths  enterprises currently hosted initial group companies showcase booths includes basf shanshan battery materials beijing disaster prevention science technology crrc zhuzhou institute tbea sany group among others innovation center serves bridge connecting universities research institutes enterprises collaboration enables us fully leverage strengths parties involved leadership state grid hunan electric power said mei wenqing deputy general manager crrc zhuzhou institute innovation center five main functions first showcases construction operation hunan new power system second acts emergency command center system third promotes collaboration within industry providing platform discussions negotiations fourth hosts academic conferences hunan new power system lastly serves educational base sharing knowledge new power system schools social groups photo shows innovation center new power system central china hunan province first kind china comprehensively showcases achievements technological equipment new power system
th china beijing international high tech expo draws visitors,2024-07-15,http://en.people.cn/n3/2024/0715/c90000-20193876.html,vertical take-off landing drone display th china beijing international high-tech expo july   ering area   square meters event attracted  enterprises organizations home abroad  special exhibition areas models electric multiple unit emu trains display th china beijing international high-tech expo july   visitors view model showing detection exploitation deepwater oil gas china national offshore oil poration cnooc displayed th china beijing international high-tech expo july   visitors view unmanned tractor displayed th china beijing international high-tech expo july   foreign visitors experience new energy vehicle displayed th china beijing international high-tech expo july  
china tech innovations benefit electricity development global south,2024-07-15,http://en.people.cn/n3/2024/0715/c90000-20193832.html,beijing july  xinhua china technological forefront electricity development provided world experience practices electricity innovation according report issued sidelines high-level conference recently held beijing sub-forum second high-level conference forum global action shared development global energy interconnection development peration organization geidco issued research global electricity development index sub-forum held friday themed energy transition sustainable development organized geidco non-profit international organization headquartered beijing dedicated promoting sustainable energy development worldwide guan xiupeng vice director geidco general office told xinhua china vast territory diverse geographical features deserts forests plateaus permafrost areas impact economic social development based conditions china explored electricity technologies development models suitable development accumulated wealth experience project construction also shared countries especially global south added research report mentioned china technological forefront new energy power generation ultra high voltage uhv power transmission flexible direct current transmission digitization intelligentization electricity systems taking uhv example development uhv technology driven long distance china clean energy resources mostly western regions consumption centers east china solved problem long-distance large-capacity power transmission also realized mass consumption clean energy side globe uhv technology found place brazil country abundant hydropower resource tropical rainforest northern part densely populated areas south state grid poration china sgcc leading state-owned utility company applied technologies experience earned home south american country including kv uhv direct current transmission technology sends electricity belo monte hydroelectric plant para state big cities like rio de janeiro sao paulo mega-project traverses vast area stretching   km tropical rainforests rivers supply power consumption  million people  percent brazilian population  billion kwh hydropower delivered via project equivalent saving  million tonnes standard coal cutting  million tonnes co emission project strictly complies environmental regulations laying power transmission lines engineering teams bypassed local indigenous settlements ecological conservation areas accordance local laws regulations  recognized best social environmental management practice brazil besides project construction chinese companies also promote technology transfer training local talent long-term operation maintenance smart electricity meter project saudi arabia one example agreement project signed sgcc saudi electricity pany  included installation  million electricity meters development supporting facilities technology services equipment integration trial tests maintenance personnel training also part project largest deployment smart electricity meters world time deng guoxue one project experts sgcc busy installation work also running local personnel training classes developed set english training materials including textbooks lecture notes student manuals saudi colleagues ihab mohammad one local trainees said witnessed diligence responsibility professionalism sgcc employees completed high-quality project wisdom hardwork benefit local people chinese contractors build power systems also bring domestic experience field environmental protection enhancing overall environmental level projects located coastal sandy area binh dinh province vietnam phu -megawatt photovoltaic power station major new energy project vietnam national power development plan  largest photovoltaic power station central vietnam power struction poration china project contractor also considered various application potentials project design expansion energy storage hydrogen ammonia production desalination seawater green electricity end april  project generated sent total  million kwh electricity grid equivalent cutting   tonnes carbon dioxide emissions saving   tonnes standard coal project also transformed utilized  hectares desertified barren land significantly reducing dust storms improving local environment
diverse applications new technologies display  waic,2024-07-15,http://en.people.cn/n3/2024/0715/c90000-20193820.html, world ai ference waic high-level meeting global ai governance held shanghai july   featuring  forums   exhibits  launch events exhibition area   square meters conference featured full-domain connection hall   square meters project incubations procurements investment matchmaking nearly  large models exhibited china first full-sized general-purpose humanoid robot prototype also launched conference humanoid robot optimus developed tesla exhibited  world ai ference waic east china shanghai july   people daily online xu kunde ai exhibition held conference attracted  renowned enterprises exhibition visitors amazed new technologies transforming industries across board instance large model developed chinese ai software provider sensetime bring photos life animating figures expressions movements photos create dynamic videos besides alipay smart assistant quickly answer questions handle tasks command users among exhibits large model application products technical service products supporting operations intsig information industry-leading tech company specializing business data ai mobile applications launched large model accelerator speed pre-training corpus development practical implementation processes large model applications accelerator quickly parse unstructured data lengthy documents hundreds pages intelligently reconstruct correct reading order documents conference also featured dedicated demonstration zone humanoid robots showcasing humanoid robots ever instance exhibition booth robot era robot developer beijing large screen displaying humanoid robot climbing great wall attracted huge attention besides healthy loong humanoid robot developed zhangjiang high-tech park shanghai announced open-source status aiming advance towards general ai novel impressive humanoid robots made visitors feel stepping future world according statistics conference received   in-person visits  billion online views increase  percent previous session setting new records robot shows ability exhibition booth humanoid robot shanghai  world ai ference east china shanghai july   people daily online xu kunde advancement ai technology driving economic social development brought risks challenges including deepfakes privacy breaches intellectual property disputes andrew chi-chih yao turing award winner academician chinese academy sciences believes risks ai manifest extension expansion cybersecurity threats well unforeseen social risks strengthening global ai governance urgently requires building consensus dialogue cooperation shanghai declaration global ai governance issued conference opening ceremony presents china proposals global ai governance year waic featured first high-level meeting global ai governance three days total   guests  countries regions participated thematic discussions xue lan dean schwarzman lege head institute ai international governance tsinghua university said promote global ai governance important strengthen collaborative governance expand multi-level multi-channel bilateral multilateral exchanges dialogues advance international ai big science cooperation jointly address risks challenges brought ai technology keynote speech given main forum industrial development  world ai ference waic held meeting hall shanghai world expo exhibition vention center east china shanghai july   people daily online chen yuyu conference featured  forums focusing topics model algorithms computing power embodied intelligence industrial ecology discussing future development large models zhang yaqin dean institute ai industry research tsinghua university outlined several key trends said development models become multimodal cross-modal multi-scale predicting ai soon integrated edge devices like tvs smartphones cars moreover said large models evolve tools developing intelligent agents capable autonomous task planning code writing tool manipulation path optimization zhang explained large models already applied enhance automation intelligence physical infrastructure transportation systems communications networks power grids paving way embodied intelligence also foresaw future large models interfaced directly biological systems potentially leading groundbreaking fusion digital physical biological intelligence reported  waic brought together  procurement groups identified  project procurement needs estimated total purchase amount  billion yuan   billion additionally  major industrial projects signed total investment  billion yuan
ai used help preserve china oldest wooden pagoda,2024-07-15,http://en.people.cn/n3/2024/0715/c90000-20193677.html,sakyamuni pagoda also known yingxian wooden pagoda features centuries-old plaques written renowned calligraphers emperors zhu xingxin china daily artificial intelligence used safeguard country oldest tallest wooden pagoda north china shanxi province withstood natural disasters human calamities  years technology used enhance understanding -meter-tall sakyamuni pagoda visualize states time prepare restoration work ai used aid preserving pagoda yingxian county fogong temple also enhance visitor experience revealing significant architectural historical religious value built  liao dynasty - pagoda built entirely wood without use nails weathered earthquakes wars challenges intricate structure features innumerable mortises tenons tall -story building base diameter  meters pagoda remarkable architectural feat protection visitors enter first floor prohibited climbing higher levels ai technology however allow experience whole pagoda d animation renowned architect liang sicheng visited pagoda first time  impressed pagoda intricate structure ingenious design meticulously measured surveyed recorded building introducing treasured relics china world well-preserved buddha statue sakyamuni pagoda zhu xingxin china daily yingxian sakyamuni pagoda also known yingxian wooden pagoda prominent landmark generations years pagoda developed slight lean zhao yushan -year-old carpenter yingxian taken aback first saw tower teenager since dedicated life replicating made numerous scale versions pagoda using traditional methods construction currently working -meter-tall replica pagoda octagonal structure comprising nine stories five visible outside four concealed within buddhist statues story paintings adorning inner walls first floor creations liao dynasty local people believe pagoda built lu ban china legendary master carpenter spring autumn period - bc work beyond manpower said yingxian resident surnamed li said pagoda lean increased past years need restoration become urgent worker experiences climbing sakyamuni pagoda virtual reality gear yingxian shanxi province april zhu xingxin china daily high-tech preservation april virtual reality program replicates pagoda released chinese technology company lenovo group tsinghua university school architecture wearing vr glasses visitors experience would like climb pagoda explore interior program donated county government become part digital museum february last year school began conducting modeling work wooden structure inside pagoda creating database parameters structural research meanwhile lenovo group utilizing ai-generated spatial computing technology combines ai neural radiance fields technology extended reality technology construct digital twin pagoda besides benefiting tourists technologies provide strong technical support re-creating complete structure details pagoda mao shijie vice-president lenovo group head lenovo research shanghai said project utilized cutting-edge aigc technology enabling swift digital reconstruction pagoda within  hours task would taken months using traditional methods said combining ai algorithms data collected drones radar cameras project aims recreate pagoda intricate details accurately said sakyamuni pagoda fogong temple yingxian shanxi province zhu xingxin china daily professor liu chang tsinghua university emphasized importance fully understanding pagoda various perspectives guiding effective restoration said unraveling pagoda historical transformations predicting future state crucial steps preservation process liu hopes utilize collected data analyze deduce appearance pagoda different periods see much pagoda compressed changed time said revealing appearance pagoda different stages history liu hopes speculate pagoda might looked certain periods well-known chinese architect liang sicheng saw s song dynasty - jin dynasty - yuan dynasty - may even possible predict future appearance pagoda adjusting parameters simulating wood may change  years said first step protecting even restoring pagoda know deeply said pagoda tilting means sick said cure first find hospital addressing challenges faced protecting pagoda liu highlighted need meticulous preparation comprehensive understanding pagoda condition embrace innovative technologies drive conservation efforts forward wang xiaolong deputy director institute protection research ancient buildings orful sculptures shanxi province hopes information pagoda building original design material degradation collected utilizing technologies ai big data experts responsible protecting even restoring pagoda people see masterpiece love liu tsinghua university said
conference boost global basic science exchange opens beijing,2024-07-15,http://en.people.cn/n3/2024/0715/c90000-20193577.html,beijing july  xinhua international gress basic science icbs inaugurated beijing sunday bringing together  scientists scholars home abroad congress focuses three branches basic science mathematics theoretical physics theoretical computer information sciences according organizer next two weeks event feature  academic reports satellite meetings aiming share cutting-edge achievements field basic science envision future development fundamental research four fields medal winners three turing award winners one nobel laureate  academicians various countries set participate basic science cornerstone humanity quest explore unknown providing fundamental theories methods understand natural phenomena solve real-world problems said shing-tung yau world-renowned mathematician chairman icbs young know chinese people branch number theory many chinese scientists working problems work said andrew wiles oxford university among  basic science lifetime award winners first icbs held beijing last year
beijing launches rocket street project advance commercial space development,2024-07-14,http://en.people.cn/n3/2024/0714/c90000-20193281.html,beijing july  xinhua beijing launched rocket street project aiming establish national-level scientific research production hub support china commercial space development beijing rocket street project located beijing e-town economic technological development area southeast capital city total floor space   square meters common technological platform high-end manufacturing center innovation research development center major facilities also plans build interactive exhibition hall science technology offer visitors immersive virtual reality experiences local government anticipates project assist rocket enterprises exploring new technologies expanding application scenario meanwhile spearheaded commercial space alliance bringing together businesses universities institutions cooperatives beijing e-town hosts cluster  aerospace companies including  percent china private rocket makers  country private commercial rocket enterprises headquartered beijing carried total  space launches since china government work report earlier year highlighted inclusion commercial space industry significant driver new growth many regions shanghai hunan sichuan also released development plans boost industry data shows china commercial space market experienced rapid growth since  average annual increase  percent  first half year year country commercial space market expected worth   trillion yuan  billion usa dollars
china forges ahead forefront global battle desertification,2024-07-14,http://en.people.cn/n3/2024/0714/c90000-20193260.html,china remarkable strides combating desertification highlighted international day bating sand dust storms friday past two decades country witnessed significant decline frequency intensity spring sandstorms testament robust ecological initiatives national forestry grassland administration friday revealed substantial reduction number spring sandstorms average  times year     times last decade nosediving  percent since th national gress munist party china  country intensified support key ecological projects three-north shelterbelt forest program tsfp efforts led successful management  million mu  million hectares desertified land  percent treatable desertified areas effective control china one nations affected desertification grappling transformation fertile lands deserts phenomenon disrupts rainfall patterns exacerbates extreme weather events driving climate change world atlas desertification warns  percent world soils already degraded affecting   billion people globally projections united nations educational scientific cultural organization unesco dire  percent planet land surface risk degradation  posing significant threats biodiversity human life stark contrast global outlook china achieved zero growth land degradation successfully reduced area desertified sandy lands  report chinese academy sciences indicated china achieved land degradation neutrality net land restoration area accounting  percent world total placing forefront global efforts regard tsfp world largest afforestation project serves good example launched  scheduled completed  already helped safeguard land inhabited people northwest north northeast china  program saw preservation  million mu forested land management   billion mu degraded grasslands forest coverage rate increased around  percent   percent june  china proposed tsfp turned fully functional unbreakable green great wall ecological security barrier northern china international day prevention desertification land degradation aims galvanize global sense duty urgency china emerged dynamic force fulfilling commitments united nations vention bat desertification wednesday united nations general assembly designated - united nations decade bating sand dust storms introducing text draft resolution behalf group  developing countries china representative uganda said sand dust storms issue international concern storms increasingly threaten achievement   un sustainable development goals stressed adding resolution aims enhance international regional cooperation prevent halt mitigate effects
china ranks high global electricity index tech innovation,2024-07-13,http://en.people.cn/n3/2024/0713/c90000-20193242.html,beijing july  xinhua technological innovation propels china rank high electricity development power supply consumption services also leading globally according report issued friday sideline high-level conference held beijing sub-forum second high-level conference forum global action shared development global energy interconnection development peration organization geidco issued research global electricity development index gedi sub-forum held friday themed energy transition sustainable development organized geidco non-profit international organization headquartered beijing dedicated promoting sustainable energy development worldwide according organization gedi covers various aspects production consumption allocation aiming establish evaluation system focusing safety reliability green development economic efficiency technology policies market dynamics index introduces comprehensive framework scientifically assessing electricity development across regions major countries globally said xin baoan chairman geidco helps nations identify pathways towards green low-carbon sustainable electricity development tailored national conditions added xin also president china electricity ncil china ranks seventh among  representative countries diverse continents worldwide scores high technological innovation electricity supply consumption services sweden norway canada switzerland denmark france rank china china ranks first asia developing country among top  research report mentioned china technological forefront new energy power generation ultra high voltage power transmission flexible direct current transmission digitization intelligentization electricity systems country constructed series demonstration projects providing world experience practices electricity innovation instance new energy base project kubuqi desert central northern ordos world largest wind-photovoltaic project report said china also significantly driven global transition towards green low-carbon electricity   china clean energy installed capacity grew  gw accounting   percent global increase   gw clean energy installed capacity proportion clean energy power generation rose   percent   percent proportion clean energy installed capacity climbed   percent   percent second high-level conference forum global action shared development held china international development peration agency thursday saturday
record breaking lake drilling depth achieved china qinghai xizang plateau,2024-07-13,http://en.people.cn/n3/2024/0713/c90000-20193208.html,lhasa july  xinhua core drilling project nam world highest saltwater lake southwest china xizang autonomous region achieved drilling depth exceeding  meters great significance country lake drilling paleoclimate study according scientists   p friday multinational joint scientific expedition team extracted lake sediment core depth   meters lake bed nam surpassing previous maximum depth   meters lake drilling qinghai-xizang plateau nam enclosed lake gathers information rocks soil vegetation rivers human activities catchment making lake significant environmental changes research according wang junbo one leaders scientific expedition team studying lake sediment cores gain deeper understanding climate environmental changes qinghai-xizang plateau past one million years provide science base future climate forecasts said wang also researcher institute tibetan plateau research itp chinese academy sciences nam located qinghai-xizang plateau lake-surface elevation   meters second-largest lake region important scientific research base scientific expedition launched early june joint effort itp research team looking lake environmental changes along scientists drilling technicians germany switzerland britain united states according zhu liping another leaders scientific expedition team researcher itp drilling lake sediment core nam highest-altitude drilling project international tinental scientific drilling program zhu said collected lake sediment cores transferred scanned itp permanently retained analyses breakthrough drilling promote high-level research lake drilling china exhibit international impacts relevant scientific research cooperation zhu added
